Technique,ATTACK_ID,Tactic,Used_by_VT,group_id,group_name
Extra Window Memory Injection,T1055.011,"Stealth, Privilege Escalation",No,,
Scheduled Task,T1053.005,"Execution, Persistence, Privilege Escalation",No,,
Socket Filters,T1205.002,"Stealth, Persistence, Command And Control",No,,
Archive via Utility,T1560.001,Collection,Yes,G1017,Volt Typhoon
VNC,T1021.005,Lateral Movement,No,,
Windows Management Instrumentation,T1047,Execution,Yes,G1017,Volt Typhoon
Exploitation for Defense Impairment,T1687,Defense Impairment,No,,
Screen Capture,T1113,Collection,Yes,G1017,Volt Typhoon
Fileless Storage,T1027.011,Stealth,No,,
Boot or Logon Initialization Scripts,T1037,"Persistence, Privilege Escalation",No,,
Adversary-in-the-Middle,T1557,"Credential Access, Collection",Yes,G1017,Volt Typhoon
System Owner/User Discovery,T1033,Discovery,Yes,G1017,Volt Typhoon
Acquire Infrastructure,T1583,Resource Development,Yes,G1017,Volt Typhoon
Rundll32,T1218.011,Stealth,No,,
Container and Resource Discovery,T1613,Discovery,No,,
Serverless,T1583.007,Resource Development,No,,
Standard Encoding,T1132.001,Command And Control,No,,
Embedded Payloads,T1027.009,Stealth,No,,
Pluggable Authentication Modules,T1556.003,"Defense Impairment, Persistence, Credential Access",No,,
Revert Cloud Instance,T1578.004,Defense Impairment,No,,
Gather Victim Host Information,T1592,Reconnaissance,Yes,G1017,Volt Typhoon
Digital Certificates,T1596.003,Reconnaissance,No,,
Keylogging,T1056.001,"Collection, Credential Access",Yes,G1017,Volt Typhoon
File/Path Exclusions,T1564.012,Stealth,No,,
Linux and Mac Permissions,T1222.002,Defense Impairment,Yes,G1017,Volt Typhoon
Password Guessing,T1110.001,Credential Access,No,,
PubPrn,T1216.001,Stealth,No,,
Purchase Technical Data,T1597.002,Reconnaissance,No,,
OS Credential Dumping,T1003,Credential Access,Yes,G1017,Volt Typhoon
Shared Modules,T1129,Execution,Yes,G1017,Volt Typhoon
Data from Configuration Repository,T1602,Collection,No,,
Disk Structure Wipe,T1561.002,Impact,No,,
Direct Network Flood,T1498.001,Impact,No,,
Path Interception by PATH Environment Variable,T1574.007,"Stealth, Execution",No,,
Sharepoint,T1213.002,Collection,No,,
Direct Volume Access,T1006,Stealth,Yes,G1017,Volt Typhoon
Artificial Intelligence,T1588.007,Resource Development,No,,
Modify Cloud Resource Hierarchy,T1666,Defense Impairment,No,,
Email Hiding Rules,T1564.008,Stealth,No,,
External Defacement,T1491.002,Impact,No,,
Encrypted/Encoded File,T1027.013,Stealth,Yes,G1017,Volt Typhoon
IP Addresses,T1590.005,Reconnaissance,No,,
OS Exhaustion Flood,T1499.001,Impact,No,,
Rootkit,T1014,Stealth,No,,
PowerShell Profile,T1546.013,"Privilege Escalation, Persistence",No,,
JavaScript,T1059.007,Execution,Yes,G1017,Volt Typhoon
Modify or Spoof Tool UI,T1685.003,Defense Impairment,No,,
DNS,T1590.002,Reconnaissance,No,,
Lifecycle-Triggered Deletion,T1485.001,Impact,No,,
Audio Capture,T1123,Collection,No,,
Create or Modify System Process,T1543,"Persistence, Privilege Escalation",Yes,G1017,Volt Typhoon
External Remote Services,T1133,"Persistence, Initial Access",Yes,G1017,Volt Typhoon
LC_LOAD_DYLIB Addition,T1546.006,"Privilege Escalation, Persistence",No,,
Steal Web Session Cookie,T1539,Credential Access,No,,
Container Orchestration Job,T1053.007,"Execution, Persistence, Privilege Escalation",No,,
Domain Generation Algorithms,T1568.002,Command And Control,No,,
Double File Extension,T1036.007,Stealth,No,,
Bypass User Account Control,T1548.002,Privilege Escalation,No,,
SMS Pumping,T1496.003,Impact,No,,
Internet Connection Discovery,T1016.001,Discovery,Yes,G1017,Volt Typhoon
Sudo and Sudo Caching,T1548.003,Privilege Escalation,No,,
Disable or Modify Windows Event Log,T1685.001,Defense Impairment,Yes,G1017,Volt Typhoon
Query Public AI Services,T1682,Reconnaissance,No,,
Archive via Custom Method,T1560.003,Collection,No,,
